COD_INSTALACAO,SERVICO,DT_CRIACAO,CANAL_ATENDIMENTO
1558225,Religação,2024-07-01,Call Center
1400099958,Religação,2024-07-01,Mobile
1400069400,Religação,2024-07-01,WhatsApp
14581629,Religação,2024-07-01,WhatsApp
1400733821,Religação,2024-07-01,Site - Grupo B
1400043286,Religação,2024-07-01,URA
6180547,Religação,2024-07-01,Rede Fácil
6180547,Religação,2024-07-01,Rede Fácil
6038420,Religação,2024-07-01,Mobile
1400549308,Religação,2024-07-01,Agência
709371376,Religação,2024-07-01,Mobile
11764450,Religação,2024-07-01,Mobile
2246640,Religação,2024-07-01,Rede Fácil
7308975,Religação,2024-07-01,Call Center
708771883,Religação,2024-07-01,Site - Grupo B
7236331,Religação,2024-07-01,Mobile
1400334972,Religação,2024-07-01,Mobile
1400334972,Religação,2024-07-01,Chatbot
2492183,Religação,2024-07-01,WhatsApp
14223599,Religação,2024-07-01,Mobile
1400612778,Religação,2024-07-01,Call Center
707530124,Religação,2024-07-01,Site - Grupo B
1400204872,Religação,2024-07-01,Mobile
1400334972,Religação,2024-07-01,Mobile
1400334972,Religação,2024-07-01,Chatbot
7342099,Religação,2024-07-01,Site - Grupo B
1401277785,Religação,2024-07-01,URA
365274,Religação,2024-07-01,WhatsApp
1400717651,Religação,2024-07-01,Rede Fácil
12603032,Religação,2024-07-01,App
707059849,Religação,2024-07-01,App
6180547,Religação,2024-07-01,Rede Fácil
6180547,Religação,2024-07-01,Rede Fácil
1083447954,Religação,2023-07-04,Site - Grupo B
1401007307,Religação,2023-07-04,WhatsApp
732631622,Religação,2023-07-04,WhatsApp
730589038,Religação,2023-07-04,App
1082341179,Religação,2023-07-04,Mobile
1401231560,Religação,2023-07-04,Call Center
1078636900,Religação,2023-07-04,Site - Grupo B
1080004502,Religação,2023-07-04,Call Center
1400858429,Religação,2023-07-04,App
5249781,Religação,2023-07-04,App
1400476761,Religação,2023-07-05,App
732089642,Religação,2023-07-04,Rede Fácil
1401105496,Religação,2023-07-04,WhatsApp
1060857175,Religação,2023-07-04,Mobile
4500111,Religação,2023-07-04,Site - Grupo B
1082028282,Religação,2023-07-03,Rede Fácil
3747199,Religação,2023-07-03,WhatsApp
3546628,Religação,2023-07-03,Mobile
733020916,Religação,2023-07-04,WhatsApp
1068551271,Religação,2023-07-03,App
725973506,Religação,2024-07-03,Site - Grupo B
1400882800,Religação,2024-07-03,Call Center
2829180,Religação,2024-07-04,Call Center
733045063,Religação,2024-07-03,Call Center
732123471,Religação,2024-07-03,Mobile
1060827430,Religação,2024-07-03,WhatsApp
733204066,Religação,2024-07-03,App
1400603440,Religação,2024-07-03,WhatsApp
8720158,Religação,2024-07-03,WhatsApp
5674165,Religação,2024-07-03,App
1083466764,Religação,2024-07-03,Call Center
3296603,Religação,2024-07-03,URA
1400642030,Religação,2024-07-03,Call Center
707556494,Religação,2024-07-04,Mobile
1400689909,Religação,2024-07-03,WhatsApp
6077232,Religação,2023-07-04,Mobile
711272542,Religação,2023-07-04,WhatsApp
3492754,Religação,2023-07-04,App
732867705,Religação,2023-07-04,Mobile
9312456,Religação,2023-07-03,Mobile
1400863048,Religação,2023-07-02,Mobile
730578027,Religação,2023-07-03,Mobile
708134029,Religação,2023-07-03,Mobile
1400613155,Religação,2023-07-03,Mobile
1401177847,Religação,2023-07-03,Call Center
4641176,Religação,2023-07-03,Site - Grupo B
6061377,Religação,2023-07-03,Site - Grupo B
1400725762,Religação,2023-07-03,Rede Fácil
1400846576,Religação,2023-07-03,Mobile
14099915,Religação,2023-07-03,Call Center
