COD_INSTALACAO;CANAL_ATENDIMENTO
1558225;Call Center
1400099958;Mobile
1400069400;WhatsApp
14581629;WhatsApp
1400733821;Site - Grupo B
1400043286;URA
6180547;Rede Fácil
6038420;Mobile
1400549308;Agência
709371376;Mobile
11764450;Mobile
2246640;Rede Fácil
7308975;Call Center
708771883;Site - Grupo B
7236331;Mobile
1400334972;Mobile
2492183;WhatsApp
14223599;Mobile
1400612778;Call Center
707530124;Site - Grupo B
1400204872;Mobile
1400334972;Chatbot
7342099;Site - Grupo B
1401277785;URA
365274;WhatsApp
1400717651;Rede Fácil
12603032;App
707059849;App
6180547;Rede Fácil
1083447954;Site - Grupo B
1401007307;WhatsApp
732631622;WhatsApp
730589038;App
1082341179;Mobile
1401231560;Call Center
1078636900;Site - Grupo B
1080004502;Call Center
1400858429;App
5249781;App
1400476761;App
732089642;Rede Fácil
1401105496;WhatsApp
1060857175;Mobile
4500111;Site - Grupo B
1082028282;Rede Fácil
3747199;WhatsApp
3546628;Mobile
733020916;WhatsApp
1068551271;App
1082356356;Rede Fácil
1078733520;Rede Fácil
708173349;Site - Grupo B
1078812361;WhatsApp
732895372;URA
1079840648;Site - Grupo B
708497199;WhatsApp
1400715174;Chatbot
709626683;Call Center
1081994219;Totem
6254235;Mobile
707559252;WhatsApp
1400486768;Call Center
14878980;Call Center
1068559626;WhatsApp
1081849718;WhatsApp
1400590179;Agência
3314992;Site - Grupo B
1083451725;Site - Grupo B
1079817736;WhatsApp
725973506;Site - Grupo B
1400882800;Call Center
2829180;Call Center
733045063;Call Center
732123471;Mobile
1060827430;WhatsApp
733204066;App
1400603440;WhatsApp
8720158;WhatsApp
5674165;App
1083466764;Call Center
3296603;URA
1400642030;Call Center
707556494;Mobile
1400689909;WhatsApp
6077232;Mobile
711272542;WhatsApp
3492754;App
732867705;Mobile
9312456;Mobile
1400863048;Mobile
730578027;Mobile
708134029;Mobile
1400613155;Mobile
1401177847;Call Center
4641176;Site - Grupo B
6061377;Site - Grupo B
1400725762;Rede Fácil
1400846576;Mobile
14099915;Call Center
1401296351;App
1060793774;WhatsApp
6448560;Rede Fácil
1079029065;Mobile
1401149299;URA
1400014834;App
1401136704;Site - Grupo B
1400085391;Site - Grupo B
1401036328;Site - Grupo B
1083342436;Mobile
4770574;Mobile
3549713;Site - Grupo B
1400921705;Site - Grupo B
1401023496;App
9110507;WhatsApp
1400378652;App
1078675340;Rede Fácil
707199061;App
1400519084;Agência
708475569;WhatsApp
13031007;App
1079999442;Mobile
1400936271;Mobile
1400335323;Ouvidoria
12120748;Mobile
1078943244;App
1802308;Rede Fácil
1400674158;Totem
12158027;Chatbot
708484765;Mobile
1400931463;App
1149819;App
707056221;Totem
650686;Call Center
1400332519;Site - Grupo B
6051931;WhatsApp
1400445762;App
1400313961;Site - Grupo B
3257779;Site - Grupo B
1313636;App
1079170675;Imobiliária
1400374597;App
4621314;App
1400678504;Site - Grupo B
1081752832;Site - Grupo B
1401179209;App
1083437622;Mobile
1400898840;WhatsApp
708353339;Site - Grupo B
1079976541;Mobile
11641430;WhatsApp
1083400765;Site - Grupo B
1629872;Mobile
1400802323;App
1401132383;App
1083524645;WhatsApp
1400716519;Mobile
6752061;App
733112225;App
1400154775;App
3873970;Rede Fácil
1078592866;Call Center
1075905240;App
1083421137;App
1082647039;Totem
1078621079;Mobile
3904047;Mobile
1079774070;Site - Grupo B
708906762;Mobile
12877496;Call Center
1400405141;Site - Grupo B
1080009502;WhatsApp
1078901907;WhatsApp
11412364;Site - Grupo B
4295798;Mobile
1400686790;App
1082595567;Site - Grupo B
1401242814;App
8065381;App
12495401;App
5726030;Chatbot
289123;Mobile
1400737340;App
1400401175;Mobile
5566737;Mobile
14692642;Site - Grupo B
1400178990;Site - Grupo B
710805530;App
1400868009;App
1400585536;App
4330751;Call Center
1082650620;Agência
1400556691;Agência
700979626;WhatsApp
1401161382;App
1078910174;Mobile
12223209;Mobile
1068565297;Site - Grupo B
1078879849;Mobile
7801200;URA
